,name,github_id,category,labels,cargo_id,npm_id,greasy_fork_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_monthly_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_url,greasy_fork_code_url,greasy_fork_fan_score,show,projectrank_placing
0,typstyle,typstyle-rs/typstyle,writing,"['cli', 'extension', 'web', 'api']",typstyle-core,@typstyle/typstyle-wasm-bundler,542164.0,https://github.com/typstyle-rs/typstyle,https://greasyfork.org/scripts/542164-typstyle-tampermonkey,Apache-2.0,2024-03-09 04:46:08,2025-08-07 03:59:26,2025-08-03 16:29:24,517.0,97.0,23.0,3.0,297.0,23.0,98.0,614.0,2025-08-03 13:32:38.000,0.13.17,43450.0,6610.333333333334,66.0,Format code using typstyle in typst.app.,7.0,3.0,17.0,23,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2025-08-03 13:31:27.642,97.0,https://crates.io/crates/typstyle-core,2025-08-03 13:30:54.934,4.0,3958.3333333333335,26282.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,20.7,True,1
1,typst-lsp,nvarner/typst-lsp,writing,"['extension', 'cli']",,,,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41,2024-11-05 06:22:11,2024-11-05 06:22:11,456.0,,78.0,6.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,30887.0,1065.0,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,20,,,,,,,,,,,,True,2
2,tinymist,Myriad-Dreamin/tinymist,writing,"['extension', 'cli', 'api']",tinymist-query,,,https://github.com/Myriad-Dreamin/tinymist,https://github.com/Myriad-Dreamin/tinymist,Apache-2.0,2024-03-06 21:30:21,2025-08-19 03:57:03,,,,86.0,,,111.0,,1963.0,2025-08-06 16:38:42.548,0.13.22,,1425.3333333333333,19.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,50.0,19,,,,https://crates.io/crates/tinymist-query,2025-08-06 16:38:42.548,3.0,1425.3333333333333,5493.0,,,,True,2
3,typstfmt,astrale-sharp/typstfmt,writing,"['cli', 'extension', 'api']",typstfmt,,,https://github.com/astrale-sharp/typstfmt,https://github.com/astrale-sharp/typstfmt,Apache-2.0,2023-03-25 14:09:04,2024-06-08 08:38:55,2024-06-08 08:35:40,340.0,,26.0,2.0,52.0,30.0,85.0,249.0,2024-06-08 08:38:56.000,0.2.10,5695.0,384.33333333333337,10.0,A soon to be formatter for the typst lang.,3.0,3.0,21.0,17,,,,https://crates.io/crates/typstfmt,2023-07-15 13:40:48.601,,147.33333333333334,1767.0,,,,False,3
4,TyX,tyx-editor/TyX,writing,['app'],,,,https://github.com/tyx-editor/TyX,https://github.com/tyx-editor/TyX,MIT,2024-10-02 21:05:31,2025-08-17 20:22:11,2025-08-17 20:22:08,168.0,92.0,2.0,3.0,14.0,22.0,34.0,99.0,2025-08-15 19:20:25.000,0.2.7,2259.0,225.0,23.0,A LyX-like experience rewritten for Typst and the modern era.,,,3.0,17,,,,,,,,,,,,True,3
5,Typst 日本語ドキュメント,typst-jp/typst-jp.github.io,docs,"['web', 'non-english']",,,,https://github.com/typst-jp/typst-jp.github.io,https://github.com/typst-jp/typst-jp.github.io,Apache-2.0,2024-06-11 09:14:58,2025-08-20 19:49:13,2025-08-20 19:47:36,3980.0,99.0,12.0,1.0,212.0,15.0,48.0,54.0,,,,,,Typstドキュメント 日本語版 (Unofficial).,,,341.0,15,,,,,,,,,,,,True,1
6,Katvan,IgKh/katvan,writing,['app'],,,,https://github.com/IgKh/katvan,https://github.com/IgKh/katvan,GPL-3.0,2024-01-18 06:12:28,2025-08-20 13:28:09,2025-08-20 13:28:02,303.0,48.0,7.0,6.0,1.0,4.0,17.0,91.0,2025-08-14 07:10:47.000,0.11.0,1659.0,87.0,13.0,"A bare-bones editor for Typst files, with a bias for Right-to-Left editing.",,,1.0,14,,,,,,,,,,,,True,3
7,Typst Examples Book,sitandr/typst-examples-book,docs,['web'],,,,https://github.com/sitandr/typst-examples-book,https://github.com/sitandr/typst-examples-book,MIT,2023-11-03 21:56:37,2025-07-27 19:01:18,2025-07-27 19:01:16,144.0,4.0,27.0,7.0,27.0,1.0,11.0,339.0,,,,,,Book of educational examples for Typst.,,,24.0,12,,,,,,,,,,,,True,1
8,The Raindrop-Blue Book (Typst中文教程),typst-doc-cn/tutorial,docs,"['web', 'non-english']",,,,https://github.com/typst-doc-cn/tutorial,https://github.com/typst-doc-cn/tutorial,Apache-2.0,2024-01-26 16:30:29,2025-05-15 15:23:17,2025-04-29 03:30:24,163.0,,22.0,1.0,23.0,7.0,2.0,164.0,2024-02-29 14:30:40.000,0.1.0,799.0,44.0,1.0,Typst中文教程.,,,9.0,11,,,,,,,,,,,,True,2
9,Typst 中文社区导航,typst-doc-cn/guide,docs,"['web', 'non-english']",,,,https://github.com/typst-doc-cn/guide,https://github.com/typst-doc-cn/guide,,2024-07-15 10:36:45,2025-07-25 15:50:17,2025-07-25 15:50:17,251.0,13.0,22.0,1.0,72.0,3.0,11.0,19.0,,,400.0,30.0,1.0,,,,21.0,9,,,,,,,,,,,,True,2
10,clreq-gap for typst,typst-doc-cn/clreq,docs,"['web', 'multilingual']",,,,https://github.com/typst-doc-cn/clreq,https://github.com/typst-doc-cn/clreq,Apache-2.0,2025-06-07 08:39:59,2025-07-29 13:15:36,2025-07-29 13:15:36,162.0,162.0,2.0,,24.0,9.0,6.0,9.0,,,,,,clreq-gap (Chinese layout gap analysis) for typst. 分析 Typst 与中文排版的差距。.,,,4.0,9,,,,,,,,,,,,True,2
11,typst-docs-l10n,typst-doc-cn/docs,docs,"['runnable', 'api']",,,,https://github.com/typst-doc-cn/docs,https://github.com/typst-doc-cn/docs,Apache-2.0,2025-03-14 14:42:25,2025-07-29 17:38:51,2025-07-29 17:38:48,23.0,12.0,1.0,,1.0,,,,,,,,,Localization for `typst-docs`.,,,,7,,,,,,,,,,,,True,3
12,Typst-Automatic-Translation,Yourouchour/Typst-Automatic-Translation,docs,"['extension', 'multilingual']",,,,https://github.com/Yourouchour/Typst-Automatic-Translation,https://github.com/Yourouchour/Typst-Automatic-Translation,MIT,2025-08-13 09:34:51,2025-08-15 04:01:09,2025-08-15 04:01:08,29.0,29.0,1.0,,7.0,,,1.0,,,,,,Translate English on the typst.app into other languages.,,,2.0,5,,,,,,,,,,,,True,3
13,Typst MdBook Docs,JL710/typst-mdbook-docs,docs,['runnable'],,,,https://github.com/JL710/typst-mdbook-docs,https://github.com/JL710/typst-mdbook-docs,MIT,2025-02-25 15:34:56,2025-02-26 06:17:24,2025-02-26 06:17:24,7.0,,1.0,1.0,,,,7.0,,,,,,This tool generates Typst documentation in Markdown and builds an MdBook from it.,,,,4,,,,,,,,,,,,True,3
14,Engage-Press/typst-docs,Engage-Press/typst-docs,docs,['runnable'],,,,https://github.com/Engage-Press/typst-docs,https://github.com/Engage-Press/typst-docs,Apache-2.0,2025-08-02 16:14:17,2025-08-19 15:54:20,2025-08-19 15:53:51,3.0,3.0,1.0,,1.0,,,2.0,,,,,,Tool to build a local mirror of the typst documentation.,,,,4,,,,,,,,,,,,True,3
15,jcbhmr/typst-docs,jcbhmr/typst-docs,docs,"['web', 'multilingual']",,,,https://github.com/jcbhmr/typst-docs,https://github.com/jcbhmr/typst-docs,MIT,2024-01-30 16:12:33,2024-04-03 17:34:18,2024-04-02 17:37:57,129.0,,,1.0,2.0,,,2.0,,,,,,📗 Typst documentation in more languages.,,,2.0,3,,,,,,,,,,,,False,3
16,Its-Just-Nans/typst.github.io,Its-Just-Nans/typst.github.io,docs,"['web', 'multilingual']",,,,https://github.com/Its-Just-Nans/typst.github.io,https://github.com/Its-Just-Nans/typst.github.io,,2025-08-14 01:03:36,2025-08-15 18:24:08,2025-08-15 18:24:05,7.0,7.0,,,,,,,,,,,,PoC - Generate typst docs.,,,,3,,,,,,,,,,,,True,3
