,name,github_id,category,labels,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,show,projectrank_placing,new_addition,cargo_id,greasy_fork_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_url,greasy_fork_code_url,greasy_fork_fan_score,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,trending,greasy_fork_total_installs,gitlab_id,gitlab_url
0,typst.ts,Myriad-Dreamin/typst.ts,coding,"['api', 'cli', 'extension']",@myriaddreamin/typst.ts,https://github.com/Myriad-Dreamin/typst.ts,https://github.com/Myriad-Dreamin/typst.ts,Apache-2.0,2023-04-09 05:03:25,2025-08-21 16:52:15.000,2025-08-21 16:52:15,1353.0,21.0,45.0,4.0,614.0,25.0,88.0,724.0,2025-04-30 11:13:59.000,0.6.0,2664.0,16155.0,67.0,Run Typst in JavaScriptWorld.,20.0,1.0,18.0,24,https://www.npmjs.com/package/@myriaddreamin/typst.ts,2025-07-23 05:52:42.035,19.0,16060.0,True,1.0,True,,,,,,,,,,,,,,,,,,
1,TexText,textext/textext,mix,['extension'],,https://github.com/textext/textext,https://github.com/textext/textext,BSD-3-Clause,2018-01-19 09:22:15,2025-07-17 11:41:33.000,2025-07-17 11:10:52,1291.0,30.0,45.0,12.0,175.0,21.0,281.0,984.0,2025-07-17 11:35:42.000,1.12.0,165154.0,1814.0,42.0,Re-editable LaTeX/ typst graphics for Inkscape.,,,22.0,23,,,,,True,1.0,True,,,,,,,,,,,,,,,,,,
2,typstyle,typstyle-rs/typstyle,writing,"['cli', 'extension', 'web', 'api']",@typstyle/typstyle-wasm-bundler,https://github.com/typstyle-rs/typstyle,https://greasyfork.org/scripts/542164-typstyle-tampermonkey,Apache-2.0,2024-03-09 04:46:08,2025-08-07 03:59:26.000,2025-08-03 16:29:24,517.0,92.0,23.0,3.0,297.0,23.0,98.0,614.0,2025-08-03 13:32:38.000,0.13.17,43556.0,6635.666666666666,66.0,Format code using typstyle in typst.app.,7.0,3.0,17.0,23,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2025-08-03 13:31:27.642,,97.0,True,1.0,,typstyle-core,542164.0,https://crates.io/crates/typstyle-core,2025-08-03 13:30:54.934,4.0,3976.6666666666665,26371.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,20.7,,,,,,,,
3,RenderCV,rendercv/rendercv,misc,['runnable'],,https://github.com/rendercv/rendercv,https://github.com/rendercv/rendercv,MIT,2023-06-11 13:58:25,2025-08-18 21:41:14.000,2025-07-13 14:42:59,1705.0,1.0,288.0,9.0,184.0,66.0,155.0,2921.0,2025-02-08 23:46:43.000,2.2,184.0,8.0,32.0,Version-control CVs/resumes as source code.,159.0,159.0,30.0,21,,,,,True,1.0,True,,,,,,,,,,,rendercv,https://pypi.org/project/rendercv,2025-02-08 23:55:00,,,,,
4,typst-lsp,nvarner/typst-lsp,writing,"['extension', 'cli']",,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41,2024-11-05 06:22:11.000,2024-11-05 06:22:11,456.0,,78.0,6.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,30892.0,1065.0,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,20,,,,,True,1.0,,,,,,,,,,,,,,,,,,,
5,tinymist,Myriad-Dreamin/tinymist,writing,"['extension', 'cli', 'api']",,https://github.com/Myriad-Dreamin/tinymist,https://github.com/Myriad-Dreamin/tinymist,Apache-2.0,2024-03-06 21:30:21,2025-08-19 03:57:03.000,,,,86.0,,,111.0,,1963.0,2025-08-06 16:38:42.548,0.13.22,,1439.0,19.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,50.0,19,,,,,True,1.0,,tinymist-query,,https://crates.io/crates/tinymist-query,2025-08-06 16:38:42.548,3.0,1439.0,5545.0,,,,,,,,,,,
6,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],,https://github.com/Myriad-Dreamin/tinymist,https://github.com/Myriad-Dreamin/tinymist,Apache-2.0,2024-03-06 21:30:21,2025-08-19 03:57:03.000,,,,86.0,,,111.0,,1963.0,2025-08-05 14:55:51.398,0.13.20,,2065.0,33.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,50.0,19,,,,,True,1.0,True,typlite,,https://crates.io/crates/typlite,2025-08-06 03:44:17.951,3.0,2065.0,13129.0,,,,,,,,,,,
7,Shiro A,Myriad-Dreamin/shiroa,convert,['cli'],,https://github.com/Myriad-Dreamin/shiroa,https://github.com/Myriad-Dreamin/shiroa,Apache-2.0,2023-05-06 10:19:14,2025-08-21 15:31:29.000,2025-08-18 19:11:31,271.0,29.0,25.0,6.0,136.0,18.0,25.0,512.0,2025-03-06 11:22:36.000,0.3.0,19424.0,809.0,14.0,shiroa is a simple tool for creating modern online books in pure typst.,,,11.0,19,,,,,True,1.0,True,,,,,,,,,,,,,,,,,,
8,Typst Preview VSCode,Enter-tainer/typst-preview,writing,['extension'],,https://github.com/Enter-tainer/typst-preview,https://github.com/Enter-tainer/typst-preview,MIT,2023-04-09 14:43:43,2024-07-07 12:31:45.000,2024-07-07 12:20:48,389.0,,21.0,4.0,155.0,30.0,122.0,443.0,2024-07-07 12:49:57.000,0.11.14,13351.0,476.0,51.0,[DEPRECATED] Use tinymist instead.,31.0,31.0,17.0,18,,,,,False,2.0,True,,,,,,,,,,,,,,,,,,
9,astro-typst,OverflowCat/astro-typst,mix,['api'],astro-typst,https://github.com/OverflowCat/astro-typst,https://github.com/OverflowCat/astro-typst,Apache-2.0,2024-08-01 09:45:50,2025-08-05 10:44:23.000,2025-08-05 10:43:46,73.0,38.0,5.0,3.0,7.0,12.0,12.0,97.0,2025-07-10 10:31:54.150,0.11.2,,1111.0,37.0,All-in-one Typst integration for Astro.,37.0,37.0,4.0,18,https://www.npmjs.com/package/astro-typst,2025-08-01 04:36:08.648,,1111.0,True,1.0,True,,,,,,,,,,,,,,,,,,
