,name,github_id,category,labels,cargo_id,cargo_url,cargo_monthly_downloads,monthly_downloads,cargo_total_downloads,description,projectrank,show,projectrank_placing,npm_id,greasy_fork_id,npm_url,greasy_fork_url,trending,homepage,new_addition,gitlab_id,license,pypi_id,pypi_url,go_id,go_url
0,tinymist,Myriad-Dreamin/tinymist,writing,"['extension', 'cli', 'api']",tinymist-query,https://crates.io/crates/tinymist-query,1535.3333333333333,1535.3333333333333,5882.0,Language queries for tinymist.,3,False,1.0,,,,,,,,,,,,,
1,typstyle,typstyle-rs/typstyle,writing,"['cli', 'extension', 'web', 'api']",typstyle-core,https://crates.io/crates/typstyle-core,3949.0,3949.0,26957.0,Beautiful and reliable typst code formatter.,3,False,1.0,@typstyle/typstyle-wasm-bundler,542164.0,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,https://greasyfork.org/scripts/542164,,,,,,,,,
2,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],typlite,https://crates.io/crates/typlite,2227.3333333333335,2227.3333333333335,13733.0,Converts a subset of typst to markdown.,3,False,1.0,,,,,,,,,,,,,
3,tola,KawaYww/tola-ssg,convert,['runnable'],tola,https://crates.io/crates/tola,2288.6666666666665,2288.6666666666665,6866.0,static site generator for typst-based blog - keeping your focus on the content.,3,False,1.0,,,,,-10.0,,,,,,,,
4,klirr,Sajjon/klirr,misc,['cli'],klirr,https://crates.io/crates/klirr,2642.0,2642.0,7926.0,Zero-maintenance and smart FOSS generating beautiful invoices for services and expenses.,3,False,1.0,,,,,-10.0,,,,,,,,
5,tex2typst-rs,xyy-cas/tex2typst-rs,math,"['api', 'web']",tex2typst-rs,https://crates.io/crates/tex2typst-rs,1027.0,1027.0,10069.0,Converts LaTeX math to Typst math.,3,True,1.0,,,,,,https://xyy-cas.github.io/tex2typst-UI/,True,,,,,,
6,typst-as-lib,Relacibo/typst-as-lib,coding,['api'],typst-as-lib,https://crates.io/crates/typst-as-lib,4157.0,4157.0,43169.0,Small wrapper for typst that makes it easier to use it as a templating engine.,3,False,1.0,,,,,,,True,,,,,,
7,typstfmt,astrale-sharp/typstfmt,writing,"['cli', 'extension', 'api']",typstfmt,https://crates.io/crates/typstfmt,155.33333333333334,155.33333333333334,1799.0,A soon to be formatter for the typst lang.,2,False,2.0,,,,,,,,,,,,,
8,wasm-minimal-protocol,astrale-sharp/wasm-minimal-protocol,pkg,['api'],wasm-minimal-protocol,https://crates.io/crates/wasm-minimal-protocol,333.6666666666667,333.6666666666667,3035.0,Typst plugin helper macro library.,2,False,1.0,,,,,,,,,,,,,
9,LegNeato/mdbook-typst,LegNeato/mdbook-typst,convert,['runnable'],mdbook-typst,https://crates.io/crates/mdbook-typst,413.0,413.0,9200.0,"An mdBook backend to output Typst markup, pdf, png, or svg.",2,False,3.0,,,,,,,,,,,,,
