,name,github_id,category,labels,pypi_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,updated_github_id,new_addition,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,gitlab_id,gitlab_url,codeberg_id,codeberg_url
0,RenderCV,rendercv/rendercv,misc,['runnable'],rendercv,https://github.com/rendercv/rendercv,https://docs.rendercv.com,MIT,2023-06-11 13:58:25,2025-12-15 22:20:17.000,2025-12-13 09:22:07,1782.0,65.0,350.0,7.0,237.0,18.0,237.0,3950.0,2025-12-13 09:24:28.000,2.5,303.0,7124.0,35.0,Typst-based CV/resume generator for academics and engineers.,166.0,164.0,40.0,28,https://pypi.org/project/rendercv,2025-12-13 09:29:19,2.0,7113.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tinymist,Myriad-Dreamin/tinymist,writing,"['extension', 'cli', 'api']",,https://github.com/Myriad-Dreamin/tinymist,https://myriad-dreamin.github.io/tinymist,Apache-2.0,2024-03-06 21:30:21,2025-12-16 03:37:50.000,2025-12-16 03:37:50,1686.0,83.0,111.0,4.0,1710.0,150.0,505.0,2619.0,2025-11-26 01:23:42.000,0.14.4,44202.0,9898.0,50.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,76.0,27,,,,,True,1.0,tinymist-query,https://crates.io/crates/tinymist-query,2025-12-03 21:28:13.736,3.0,1058.0,11178.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],,https://github.com/Myriad-Dreamin/tinymist,https://crates.io/crates/typlite,Apache-2.0,2024-03-06 21:30:21,2025-12-16 03:37:50.000,2025-12-16 03:37:50,1686.0,83.0,111.0,4.0,1710.0,150.0,505.0,2619.0,2025-11-26 01:23:42.000,0.14.4,44204.0,10260.666666666666,55.0,"Converts a subset of typst to markdown, LaTeX, and Word.",3.0,,76.0,27,,,,,True,1.0,typlite,https://crates.io/crates/typlite,2025-12-03 21:27:52.662,3.0,1420.6666666666667,20930.0,,,,,,,,,,,,,,,,,,,,,,,,
3,typst.ts,Myriad-Dreamin/typst.ts,coding,"['api', 'cli', 'extension']",,https://github.com/Myriad-Dreamin/typst.ts,https://myriad-dreamin.github.io/typst.ts,Apache-2.0,2023-04-09 05:03:25,2025-12-21 05:55:18.000,2025-12-11 11:10:18,1388.0,17.0,55.0,2.0,651.0,32.0,96.0,904.0,2025-04-30 11:13:59.000,0.6.0,3673.0,11487.666666666666,71.0,Run Typst in JavaScriptWorld.,36.0,2.0,21.0,23,,,,,True,1.0,typst-ts-core,https://crates.io/crates/typst-ts-core,2024-07-15 21:33:04.328,14.0,556.6666666666666,23074.0,@myriaddreamin/typst.ts,https://www.npmjs.com/package/@myriaddreamin/typst.ts,2025-11-08 20:39:20.401,20.0,10817.0,,,,,,,,,,,,,,,,,,,
4,typst-py,messense/typst-py,coding,['api'],typst,https://github.com/messense/typst-py,https://github.com/messense/typst-py,Apache-2.0,2023-04-02 15:20:04,2025-12-16 13:45:25.000,2025-12-16 13:45:20,176.0,24.0,22.0,6.0,104.0,5.0,34.0,263.0,2025-12-04 11:44:43.000,0.14.4,,50980.0,35.0,Python binding to typst.,32.0,,18.0,23,https://pypi.org/project/typst,2025-12-04 11:44:43,32.0,50980.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TexText,textext/textext,mix,['extension'],,https://github.com/textext/textext,https://textext.github.io/textext/,BSD-3-Clause,2018-01-19 09:22:15,2025-10-27 14:42:56.000,2025-07-17 11:10:52,1291.0,,45.0,12.0,175.0,21.0,279.0,1029.0,2025-07-17 11:35:42.000,1.12.0,173529.0,1826.0,42.0,Re-editable LaTeX/ typst graphics for Inkscape.,,,22.0,22,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,typstyle,typstyle-rs/typstyle,writing,"['cli', 'extension', 'web', 'api']",,https://github.com/typstyle-rs/typstyle,https://typstyle-rs.github.io/typstyle/,Apache-2.0,2024-03-09 04:46:08,2025-10-12 05:36:00.000,2025-12-09 08:39:11,534.0,16.0,26.0,2.0,314.0,21.0,112.0,718.0,2025-10-29 14:54:06.000,0.14.0,65162.0,7627.333333333334,50.0,Beautiful and reliable typst code formatter.,7.0,3.0,21.0,22,,,,,True,1.0,typstyle-core,https://crates.io/crates/typstyle-core,2025-10-29 14:48:51.536,4.0,3963.3333333333335,41881.0,@typstyle/typstyle-wasm-bundler,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2025-10-29 14:10:30.946,,235.0,542164.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,8.0,20.7,,,,,,,,,,,,,,
7,typst-lsp,nvarner/typst-lsp,writing,"['extension', 'cli']",,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41,2024-11-05 06:22:11.000,2024-11-05 06:22:11,456.0,,78.0,5.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,31947.0,1026.0,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,20,,,,,False,1.0,typst-lsp,https://crates.io/crates/typst-lsp,2023-03-29 04:54:20.986,,58.0,2264.0,,,,,,,,,,,,,,,,,,,,,,,,
8,Shiro A,Myriad-Dreamin/shiroa,convert,['cli'],,https://github.com/Myriad-Dreamin/shiroa,https://myriad-dreamin.github.io/shiroa/,Apache-2.0,2023-05-06 10:19:14,2025-12-14 08:56:58.000,2025-12-14 08:56:57,311.0,21.0,26.0,6.0,174.0,17.0,39.0,587.0,2025-03-06 11:22:36.000,0.3.0,31277.0,1117.0,15.0,shiroa is a simple tool for creating modern online books in pure typst.,,,14.0,19,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,typst-as-lib,Relacibo/typst-as-lib,coding,['api'],,https://github.com/Relacibo/typst-as-lib,https://crates.io/crates/typst-as-lib,MIT,2024-07-13 01:10:02,2025-12-21 12:05:22.000,2025-12-14 14:06:29,237.0,28.0,11.0,1.0,20.0,4.0,9.0,82.0,2025-10-25 13:43:01.688,0.15.0,,27116.666666666668,38.0,Easily use typst from rust.,28.0,22.0,5.0,19,,,,,True,1.0,typst-as-lib,https://crates.io/crates/typst-as-lib,2025-10-25 13:43:01.688,6.0,27116.666666666668,136073.0,,,,,,,,,,,,,,,,,,,,,,,,
10,Typst Preview VSCode,Enter-tainer/typst-preview,writing,['extension'],,https://github.com/Enter-tainer/typst-preview,https://Enter-tainer.github.io/typst-preview/,MIT,2023-04-09 14:43:43,2024-07-07 12:31:45.000,2024-07-07 12:20:48,389.0,,21.0,2.0,155.0,30.0,122.0,444.0,2024-07-07 12:49:57.000,0.11.14,13116.0,597.3333333333334,50.0,[DEPRECATED] Use tinymist instead.,31.0,31.0,17.0,17,,,,,False,1.0,typst-preview,https://crates.io/crates/typst-preview,2024-06-09 08:44:32.127,,188.33333333333334,10934.0,,,,,,,,,,,,,,,,,,,,,,,,
11,typstfmt,astrale-sharp/typstfmt,writing,"['cli', 'extension', 'api']",,https://github.com/astrale-sharp/typstfmt,https://github.com/astrale-sharp/typstfmt,Apache-2.0,2023-03-25 14:09:04,2024-06-08 08:38:55.000,2024-06-08 08:35:40,340.0,,28.0,2.0,52.0,30.0,85.0,249.0,2024-06-08 08:38:56.000,0.2.10,6025.0,328.0,10.0,A soon to be formatter for the typst lang.,3.0,3.0,21.0,17,,,,,False,1.0,typstfmt,https://crates.io/crates/typstfmt,2023-07-15 13:40:48.601,,113.0,2256.0,,,,,,,,,,,,,,,,,,,,,,,,
12,TyX,tyx-editor/TyX,writing,['app'],,https://github.com/tyx-editor/TyX,https://tyx-editor.com,MIT,2024-10-02 21:05:31,2025-12-12 16:57:57.000,2025-12-12 16:57:54,240.0,71.0,2.0,3.0,15.0,21.0,38.0,142.0,2025-12-08 21:44:39.000,0.2.16,3832.0,273.0,32.0,A LyX-like experience rewritten for Typst and the modern era.,,,3.0,17,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,qwinsi/tex2typst,qwinsi/tex2typst,math,"['web', 'api']",,https://github.com/qwinsi/tex2typst,https://qwinsi.github.io/tex2typst-webapp/,Apache-2.0,2024-07-15 00:08:06,2025-12-01 11:37:54.700,2025-12-01 11:25:21,403.0,129.0,7.0,1.0,18.0,7.0,20.0,73.0,2025-12-01 11:40:25.000,0.5.1,,612.0,75.0,JavaScript library for conversion between TeX/LaTeX and Typst math code.,9.0,8.0,6.0,17,,,,,True,1.0,,,,,,,tex2typst,https://www.npmjs.com/package/tex2typst,2025-12-01 11:37:54.700,1.0,612.0,,,,,,,,,,,,,,,,,,,
14,quiver,varkor/quiver,mix,['web'],,https://github.com/varkor/quiver,https://q.uiver.app,MIT,2018-12-28 00:44:28,2025-10-06 18:37:54.000,2025-10-06 18:37:16,487.0,9.0,108.0,28.0,21.0,60.0,202.0,3407.0,,,,,,A modern commutative diagram editor for the web.,,,8.0,16,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,obsidian-typst,fenjalien/obsidian-typst,mix,['extension'],,https://github.com/fenjalien/obsidian-typst,https://github.com/fenjalien/obsidian-typst,Apache-2.0,2023-03-24 13:25:23,2024-11-03 17:46:56.000,2024-11-03 17:46:53,65.0,,27.0,9.0,18.0,29.0,31.0,488.0,2024-03-19 01:31:23.000,0.10.0,36397.0,1102.0,15.0,Renders typst code blocks in Obsidian into images using Typst through the power of WASM!.,,,6.0,16,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
