,name,github_id,category,labels,pypi_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,updated_github_id,codeberg_id,codeberg_url,gitlab_id,gitlab_url
0,RenderCV,rendercv/rendercv,misc,['runnable'],rendercv,https://github.com/rendercv/rendercv,https://rendercv.com,MIT,2023-06-11 13:58:25.000,2026-04-06 00:09:00.000,2026-03-25 13:45:27,1961.0,151.0,1195.0,37.0,326.0,24.0,294.0,16385.0,2026-03-21 00:17:12.000,2.8,1526.0,86324.0,38.0,Resume builder for academics and engineers.,332.0,330.0,63.0,34,https://pypi.org/project/rendercv,2026-03-21 00:22:05,2.0,86274.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tinymist,Myriad-Dreamin/tinymist,writing,"['extension', 'cli', 'api']",,https://github.com/Myriad-Dreamin/tinymist,https://myriad-dreamin.github.io/tinymist,Apache-2.0,2024-03-06 21:30:21.000,2026-04-07 19:59:34.000,2026-04-05 23:23:46,1764.0,51.0,145.0,5.0,1803.0,185.0,545.0,3124.0,2026-04-05 02:54:21.000,0.14.16,75660.0,9590.333333333334,54.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,100.0,27,,,,,True,1.0,tinymist-query,https://crates.io/crates/tinymist-query,2026-04-05 01:33:29.153,3.0,133.33333333333334,11764.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],,https://github.com/Myriad-Dreamin/tinymist,https://crates.io/crates/typlite,Apache-2.0,2024-03-06 21:30:21.000,2026-04-07 19:59:34.000,2026-04-05 23:23:46,1764.0,51.0,145.0,5.0,1803.0,185.0,545.0,3124.0,2026-04-05 02:54:21.000,0.14.16,75671.0,9653.666666666666,65.0,"Converts a subset of typst to markdown, LaTeX, and Word.",3.0,,100.0,27,,,,,True,1.0,typlite,https://crates.io/crates/typlite,2026-03-18 03:35:05.093,3.0,195.66666666666666,21741.0,,,,,,,,,,,,,,,,,,,,,,,,
3,typst-py,messense/typst-py,coding,['api'],typst,https://github.com/messense/typst-py,https://typst-py.readthedocs.io/en/latest/,Apache-2.0,2023-04-02 15:20:04.000,2026-04-01 14:19:30.000,2026-04-01 14:19:27,190.0,7.0,23.0,5.0,116.0,4.0,38.0,303.0,2026-02-08 02:36:47.000,0.14.8,,240919.0,39.0,Python binding to typst.,43.0,,21.0,25,https://pypi.org/project/typst,2026-02-08 02:30:30,43.0,240919.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,typst.ts,Myriad-Dreamin/typst.ts,coding,"['api', 'cli', 'extension']",,https://github.com/Myriad-Dreamin/typst.ts,https://myriad-dreamin.github.io/typst.ts,Apache-2.0,2023-04-09 05:03:25.000,2026-03-17 12:34:19.000,2026-03-15 13:56:13,1397.0,5.0,70.0,2.0,654.0,42.0,100.0,1080.0,2025-04-30 11:13:59.000,0.6.0,4702.0,63272.333333333336,72.0,Run Typst in JavaScriptWorld.,40.0,3.0,23.0,23,,,,,True,1.0,typst-ts-core,https://crates.io/crates/typst-ts-core,2024-07-15 21:33:04.328,14.0,382.3333333333333,24392.0,@myriaddreamin/typst.ts,https://www.npmjs.com/package/@myriaddreamin/typst.ts,2025-12-25 05:13:52.679,23.0,62760.0,,,,,,,,,,,,,,,,,,,
5,TexText,textext/textext,mix,['extension'],,https://github.com/textext/textext,https://textext.github.io/textext/,BSD-3-Clause,2018-01-19 09:22:15.000,2026-01-06 14:45:46.000,2026-01-06 14:39:34,1302.0,,46.0,12.0,179.0,22.0,285.0,1071.0,2026-01-06 14:54:50.000,1.13.0,180715.0,1825.0,43.0,Re-editable LaTeX/ typst graphics for Inkscape.,,,22.0,21,,,,,True,1.0,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,
6,typstyle,typstyle-rs/typstyle,writing,"['cli', 'extension', 'web', 'api']",,https://github.com/typstyle-rs/typstyle,https://typstyle-rs.github.io/typstyle/,Apache-2.0,2024-03-09 04:46:08.000,2026-01-11 11:55:36.000,2026-02-20 09:34:56,550.0,8.0,26.0,2.0,331.0,24.0,115.0,801.0,2026-01-10 15:37:26.000,0.14.4,84774.0,10596.666666666666,50.0,Beautiful and reliable typst code formatter.,7.0,3.0,22.0,21,,,,,True,1.0,typstyle-core,https://crates.io/crates/typstyle-core,2026-01-10 15:34:47.634,4.0,4053.6666666666665,59630.0,@typstyle/typstyle-wasm-bundler,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2026-01-10 15:35:16.384,,2858.0,,542164.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,25.0,20.7,,,,,,,,,,,,,
7,typst-lsp,nvarner/typst-lsp,writing,"['extension', 'cli']",,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41.000,2024-11-05 06:22:11.000,2024-11-05 06:22:11,456.0,,78.0,5.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,33243.0,922.6666666666666,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,20,,,,,False,1.0,typst-lsp,https://crates.io/crates/typst-lsp,2023-03-29 04:54:20.986,,24.666666666666668,2365.0,,,,,,,,,,,,,,,,,,,,,,,,
8,obsidian-typst-mate,azyarashi/obsidian-typst-mate,mix,['extension'],,https://github.com/azyarashi/obsidian-typst-mate,https://www.npmjs.com/package/@typstmate/typst-syntax,Apache-2.0,2025-08-24 12:23:18.000,2026-04-21 03:46:43.000,2026-03-12 03:41:16,673.0,263.0,9.0,2.0,15.0,14.0,68.0,181.0,2026-03-02 16:36:49.000,2.3.2,20885.0,2983.0,50.0,Render math expressions with Typst instead of MathJax in Obsidian.,1.0,1.0,5.0,20,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,typst-as-lib,Relacibo/typst-as-lib,coding,['api'],,https://github.com/Relacibo/typst-as-lib,https://crates.io/crates/typst-as-lib,MIT,2024-07-13 01:10:02.000,2026-03-22 12:12:49.000,2026-02-03 13:44:48,266.0,18.0,12.0,1.0,35.0,4.0,11.0,102.0,2026-01-29 14:25:17.438,0.15.3,,61725.333333333336,41.0,Easily use typst from rust.,41.0,33.0,5.0,20,,,,,True,1.0,typst-as-lib,https://crates.io/crates/typst-as-lib,2026-01-29 14:25:17.438,8.0,61725.333333333336,360864.0,,,,,,,,,,,,,,,,,,,,,,,,
