,name,github_id,category,labels,pypi_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,npm_id,cargo_id,recent_commit_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,updated_github_id,go_id,go_url,go_latest_release_published_at,new_addition,maven_id,maven_url,maven_latest_release_published_at,go_dependent_project_count,codeberg_id,codeberg_url,maven_dependent_project_count,gitlab_id,gitlab_url
0,RenderCV,rendercv/rendercv,misc,['runnable'],rendercv,https://github.com/rendercv/rendercv,https://rendercv.com,MIT,2023-06-11 13:58:25.000,2026-05-01 00:11:29.000,2026-03-25 13:45:27,1961.0,1332.0,42.0,341.0,42.0,297.0,17449.0,2026-03-21 00:17:12.000,2.8,2375.0,153530.0,38.0,Resume builder for academics and engineers.,591.0,589.0,63.0,31,https://pypi.org/project/rendercv,2026-03-21 00:22:05,2.0,153461.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,typst.ts,Myriad-Dreamin/typst.ts,coding--compiler,"['api', 'cli', 'extension']",,https://github.com/Myriad-Dreamin/typst.ts,https://myriad-dreamin.github.io/typst.ts,Apache-2.0,2023-04-09 05:03:25.000,2026-08-30 13:06:11.000,2026-07-03 06:15:00,1436.0,80.0,3.0,698.0,53.0,100.0,1205.0,2026-06-01 21:38:06.000,0.7.0,7281.0,179441.66666666666,76.0,Run Typst in JavaScriptWorld.,56.0,3.0,41.0,28,,,,,True,1.0,@myriaddreamin/typst.ts,typst-ts-core,31.0,https://www.npmjs.com/package/@myriaddreamin/typst.ts,2026-06-29 13:49:42.002,39.0,178809.0,https://crates.io/crates/typst-ts-core,2024-07-15 21:33:04.328,14.0,450.6666666666667,26249.0,,,,,,,,,,,,,,,,,,,,
2,tinymist,Myriad-Dreamin/tinymist,writing--text,"['extension', 'cli', 'api']",,https://github.com/Myriad-Dreamin/tinymist,https://myriad-dreamin.github.io/tinymist,Apache-2.0,2024-03-06 21:30:21.000,2026-08-30 13:31:59.000,2026-08-29 20:21:46,1909.0,181.0,7.0,1966.0,211.0,569.0,3506.0,2026-08-26 02:59:03.031,0.15.4,66763.0,6282.0,70.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,144.0,27,,,,,True,1.0,,tinymist-query,131.0,,,,,https://crates.io/crates/tinymist-query,2026-08-26 02:59:03.031,3.0,213.0,12565.0,,,,,,,,,,,,,,,,,,,,
3,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],,https://github.com/Myriad-Dreamin/tinymist,https://crates.io/crates/typlite,Apache-2.0,2024-03-06 21:30:21.000,2026-08-30 13:31:59.000,2026-08-29 20:21:46,1909.0,181.0,7.0,1966.0,211.0,569.0,3506.0,2026-06-22 13:47:37.000,0.15.2,66772.0,6537.666666666667,86.0,"Converts a subset of typst to markdown, LaTeX, and Word.",3.0,,144.0,27,,,,,True,1.0,,typlite,131.0,,,,,https://crates.io/crates/typlite,2026-08-25 01:09:20.952,3.0,467.6666666666667,23312.0,,,,,,,,,,,,,,,,,,,,
4,typst-py,messense/typst-py,coding--compiler,['api'],typst,https://github.com/messense/typst-py,https://typst-py.readthedocs.io/en/latest/,Apache-2.0,2023-04-02 15:20:04.000,2026-08-01 11:53:05.000,2026-07-18 09:07:41,206.0,30.0,5.0,130.0,7.0,42.0,347.0,2026-06-16 13:01:32.000,0.15.0,,631877.0,41.0,Python binding to typst.,82.0,,30.0,27,https://pypi.org/project/typst,2026-06-16 13:01:32,82.0,631877.0,True,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,typstyle,typstyle-rs/typstyle,writing--assist,"['cli', 'extension', 'web', 'api']",,https://github.com/typstyle-rs/typstyle,https://typstyle-rs.github.io/typstyle/,Apache-2.0,2024-03-09 04:46:08.000,2026-01-11 11:55:36.000,2026-07-28 15:54:26,574.0,29.0,2.0,345.0,32.0,116.0,880.0,2026-08-02 05:52:29.000,0.15.1,122298.0,17963.0,50.0,Beautiful and reliable typst code formatter.,13.0,3.0,26.0,23,,,,,True,1.0,@typstyle/typstyle-wasm-bundler,typstyle-core,24.0,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2026-08-02 05:50:10.270,2.0,6465.0,https://crates.io/crates/typstyle-core,2026-08-02 05:49:44.555,8.0,6969.0,92737.0,542164.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,35.0,20.7,,,,,,,,,,,,,,,
6,TexText,textext/textext,mix,['extension'],,https://github.com/textext/textext,https://textext.github.io/textext/,BSD-3-Clause,2018-01-19 09:22:15.000,2026-08-06 12:20:54.000,2026-01-06 14:39:34,1302.0,50.0,11.0,180.0,24.0,286.0,1092.0,2026-01-06 14:54:50.000,1.13.0,189494.0,1839.0,43.0,Re-editable LaTeX/ typst graphics for Inkscape.,,,22.0,21,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,astro-typst,OverflowCat/astro-typst,mix,['api'],,https://github.com/OverflowCat/astro-typst,https://typst.overflow.cat,Apache-2.0,2024-08-01 09:45:50.000,2026-08-02 22:28:59.000,2026-08-02 22:25:05,87.0,9.0,3.0,9.0,12.0,21.0,197.0,2026-08-02 21:18:36.053,0.12.4,,1102.0,42.0,All-in-one Typst integration for Astro.,52.0,52.0,5.0,20,,,,,True,1.0,astro-typst,,6.0,https://www.npmjs.com/package/astro-typst,2026-08-02 21:18:36.053,,1102.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,typst-as-lib,Relacibo/typst-as-lib,coding--compiler,['api'],,https://github.com/Relacibo/typst-as-lib,https://crates.io/crates/typst-as-lib,MIT,2024-07-13 01:10:02.000,2026-06-29 20:37:50.691,2026-06-29 20:37:01,273.0,14.0,1.0,39.0,13.0,14.0,124.0,2026-06-29 20:37:50.691,0.16.0,,136769.0,44.0,Easily use typst from rust.,103.0,77.0,5.0,20,,,,,True,1.0,,typst-as-lib,5.0,,,,,https://crates.io/crates/typst-as-lib,2026-06-29 20:37:50.691,26.0,136769.0,850886.0,,,,,,,,,,,,,,,,,,,,
9,typst-lsp,nvarner/typst-lsp,writing--text,"['extension', 'cli']",,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41.000,2024-11-05 06:22:11.000,2024-11-05 06:22:11,456.0,78.0,2.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,33901.0,838.0,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,19,,,,,False,1.0,,typst-lsp,,,,,,https://crates.io/crates/typst-lsp,2023-03-29 04:54:20.986,,12.0,2420.0,,,,,,,,,,,,,,,,,,,,
10,TeXlyre,TeXlyre/texlyre,writing--text,"['runnable', 'web']",,https://github.com/TeXlyre/texlyre,https://texlyre.github.io/texlyre/,AGPL-3.0,2025-07-06 19:49:26.000,2026-08-30 10:21:32.000,2026-08-30 10:21:32,1461.0,70.0,7.0,277.0,4.0,57.0,935.0,2026-08-27 10:08:09.000,0.11.0,,,9.0,A local-first LaTeX & Typst web editor with real-time collaboration & offline support.,,,4.0,19,,,,,True,1.0,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Shiro A,Myriad-Dreamin/shiroa,convert,['cli'],,https://github.com/Myriad-Dreamin/shiroa,https://myriad-dreamin.github.io/shiroa/,Apache-2.0,2023-05-06 10:19:14.000,2026-07-14 18:06:15.000,2026-07-14 18:06:15,332.0,30.0,7.0,197.0,21.0,41.0,662.0,2025-03-06 11:22:36.000,0.3.0,50721.0,1408.0,17.0,shiroa is a simple tool for creating modern online books in pure typst.,,,18.0,19,,,,,True,1.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,wasm-minimal-protocol,typst-community/wasm-minimal-protocol,wasm,['api'],,https://github.com/typst-community/wasm-minimal-protocol,https://crates.io/crates/wasm-minimal-protocol,Unlicense,2023-06-18 13:03:58.000,2026-07-26 15:32:35.000,2026-07-26 15:32:35,197.0,20.0,1.0,63.0,1.0,18.0,98.0,2026-04-12 14:24:14.858,0.2.0,246.0,2084.0,5.0,"A minimal protocol to write Typst plugins, a CLI tool to stub WASI imports, and example Typst plugins written in..",81.0,77.0,16.0,19,,,,,True,1.0,,wasm-minimal-protocol,14.0,,,,,https://crates.io/crates/wasm-minimal-protocol,2026-04-12 14:24:14.858,4.0,2070.0,16773.0,,,,,,,,,,,,,,,,,,,,
13,typsphinx,YuSabo90002/typsphinx,convert,['extension'],typsphinx,https://github.com/YuSabo90002/typsphinx,https://typsphinx.readthedocs.io/,MIT,2025-10-13 02:14:09.000,2026-08-30 11:41:32.000,2026-08-29 22:37:17,3431.0,2.0,,106.0,1.0,28.0,12.0,2026-08-22 09:54:54.000,0.9.0,48.0,694.0,21.0,Sphinx extension for Typst output format support.,,,3.0,19,https://pypi.org/project/typsphinx,2026-08-22 09:54:54,,690.0,True,1.0,,,3166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tylax,scipenai/tylax,math,"['runnable', 'api', 'web', 'multilingual']",,https://github.com/scipenai/tylax,https://convert.silkyai.cn/,Apache-2.0,2026-01-05 03:12:17.000,2026-07-19 10:07:26.000,2026-07-18 05:51:30,56.0,11.0,4.0,7.0,16.0,20.0,478.0,2026-07-18 06:09:34.690,0.3.7,1120.0,1390.0,12.0,A bi-directional converter between Typst and LaTeX. Available as both a CLI tool and a Web interface.,10.0,5.0,3.0,18,,,,,True,1.0,,tylax,3.0,,,,,https://crates.io/crates/tylax,2026-07-18 06:09:34.690,5.0,1230.0,5365.0,,,,,,-1.0,,,,,,,,,,,,,,
15,Calepin,vincentarelbundock/calepin,mix,"['cli', 'extension']",,https://github.com/vincentarelbundock/calepin,https://vincentarelbundock.github.io/calepin,MIT,2026-03-18 04:19:40.000,2026-08-26 13:03:37.000,2026-08-26 13:03:32,664.0,7.0,1.0,16.0,4.0,97.0,170.0,2026-08-26 13:18:03.000,0.0.57,1043.0,521.0,50.0,Computational notebooks in Typst.,,,9.0,18,,,,,True,1.0,,,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hilbert,aburousan/hilbert-editor,writing--text,"['runnable', 'app']",,https://github.com/aburousan/hilbert-editor,https://github.com/aburousan/hilbert-editor,MIT,2026-07-01 06:12:08.000,2026-08-26 12:18:50.000,2026-08-26 12:09:31,204.0,4.0,3.0,2.0,,31.0,120.0,2026-08-25 13:04:43.000,tauri-v0.2.3,2966.0,2966.0,20.0,"Hilbert — an offline scientific IDE for Typst (Unofficial). Live PDF preview, physics/math tooling, live..",,,3.0,18,,,,,True,1.0,,,204.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
17,crates_io_og_image,rust-lang/crates_io_og_image,misc,['api'],,https://github.com/rust-lang/crates_io_og_image,https://crates.io/crates/crates_io_og_image,Apache-2.0,2025-07-07 08:30:36.000,2026-08-09 12:38:56.000,2026-08-09 12:38:55,183.0,5.0,3.0,101.0,1.0,3.0,17.0,2026-06-11 17:03:32.157,0.3.0,,1111.3333333333333,9.0,OpenGraph image generation for crates.io packages.,18.0,18.0,5.0,18,,,,,True,1.0,,crates_io_og_image,40.0,,,,,https://crates.io/crates/crates_io_og_image,2026-06-11 17:03:32.157,,1111.3333333333333,9223.0,,,,,,,,,,,,,,,,,,,,
18,quiver,varkor/quiver,mix,['web'],,https://github.com/varkor/quiver,https://q.uiver.app,MIT,2018-12-28 00:44:28.000,2026-08-24 18:10:10.000,2026-08-24 18:08:52,518.0,121.0,27.0,34.0,46.0,228.0,3611.0,,,,,,A modern commutative diagram editor for the web.,,,10.0,17,,,,,True,1.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MiTeX,mitex-rs/mitex,math,"['runnable', 'web', 'typst-package']",,https://github.com/mitex-rs/mitex,https://mitex-rs.github.io/mitex/tools/underleaf.html,Apache-2.0,2023-12-15 12:40:54.000,2026-07-07 13:56:46.000,2026-07-07 13:56:46,184.0,30.0,3.0,139.0,35.0,50.0,604.0,2026-04-07 13:28:28.000,0.2.7,,,2.0,"LaTeX support for Typst, powered by Rust and WASM. https://mitex-rs.github.io/mitex/.",15.0,15.0,15.0,17,,,,,True,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Typst Preview VSCode,Enter-tainer/typst-preview,writing--text,['extension'],,https://github.com/Enter-tainer/typst-preview,https://Enter-tainer.github.io/typst-preview/,MIT,2023-04-09 14:43:43.000,2024-07-07 12:31:45.000,2024-07-07 12:20:48,389.0,21.0,2.0,155.0,30.0,122.0,444.0,2024-07-07 12:49:57.000,0.11.14,14018.0,476.0,50.0,[DEPRECATED] Use tinymist instead.,31.0,31.0,17.0,17,,,,,False,1.0,,typst-preview,,,,,,https://crates.io/crates/typst-preview,2024-06-09 08:44:32.127,,126.0,11807.0,,,,,,,,,,,,,,,,,,,,
