,name,github_id,category,labels,pypi_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,cargo_id,recent_commit_count,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,updated_github_id,new_addition,go_id,go_url,go_latest_release_published_at,maven_id,maven_url,maven_latest_release_published_at,go_dependent_project_count,codeberg_id,codeberg_url,maven_dependent_project_count,gitlab_id,gitlab_url
0,RenderCV,rendercv/rendercv,misc,['runnable'],rendercv,https://github.com/rendercv/rendercv,https://rendercv.com,MIT,2023-06-11 13:58:25.000,2026-05-01 00:11:29.000,2026-03-25 13:45:27,1961.0,1354.0,48.0,351.0,53.0,298.0,17616.0,2026-03-21 00:17:12.000,2.8,2523.0,112188.0,38.0,Resume builder for academics and engineers.,636.0,634.0,63.0,30,https://pypi.org/project/rendercv,2026-03-21 00:22:05,2.0,112116.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tinymist,Myriad-Dreamin/tinymist,writing--text,"['extension', 'cli', 'api']",,https://github.com/Myriad-Dreamin/tinymist,https://myriad-dreamin.github.io/tinymist,Apache-2.0,2024-03-06 21:30:21.000,2026-09-20 20:09:12.000,2026-09-18 03:00:21,1918.0,187.0,7.0,1978.0,210.0,574.0,3544.0,2026-09-08 11:14:49.000,0.15.8,60364.0,5631.333333333333,70.0,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,3.0,,147.0,27,,,,,True,1.0,tinymist-query,69.0,https://crates.io/crates/tinymist-query,2026-08-26 02:59:03.031,3.0,144.33333333333334,12651.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Typlite,Myriad-Dreamin/tinymist,convert,['cli'],,https://github.com/Myriad-Dreamin/tinymist,https://crates.io/crates/typlite,Apache-2.0,2024-03-06 21:30:21.000,2026-09-20 20:09:12.000,2026-09-18 03:00:21,1918.0,187.0,7.0,1978.0,210.0,574.0,3544.0,2026-09-08 11:14:49.000,0.15.8,60369.0,5934.0,86.0,"Converts a subset of typst to markdown, LaTeX, and Word.",3.0,,147.0,27,,,,,True,1.0,typlite,69.0,https://crates.io/crates/typlite,2026-08-25 01:09:20.952,3.0,446.0,23611.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,typst.ts,Myriad-Dreamin/typst.ts,coding--compiler,"['api', 'cli', 'extension']",,https://github.com/Myriad-Dreamin/typst.ts,https://myriad-dreamin.github.io/typst.ts,Apache-2.0,2023-04-09 05:03:25.000,2026-08-31 05:27:04.000,2026-08-31 05:27:04,1438.0,81.0,2.0,699.0,59.0,100.0,1221.0,2026-06-01 21:38:06.000,0.7.0,7412.0,171161.0,76.0,Run Typst in JavaScriptWorld.,56.0,3.0,43.0,26,,,,,True,1.0,typst-ts-core,9.0,https://crates.io/crates/typst-ts-core,2024-07-15 21:33:04.328,14.0,490.0,26727.0,@myriaddreamin/typst.ts,https://www.npmjs.com/package/@myriaddreamin/typst.ts,2026-06-29 13:49:42.002,39.0,170491.0,-2.0,,,,,,,,,,,,,,,,,,,
4,typst-py,messense/typst-py,coding--compiler,['api'],typst,https://github.com/messense/typst-py,https://typst-py.readthedocs.io/en/latest/,Apache-2.0,2023-04-02 15:20:04.000,2026-09-01 12:13:50.000,2026-09-01 12:13:48,207.0,30.0,5.0,131.0,7.0,42.0,353.0,2026-06-16 13:01:32.000,0.15.0,,694845.0,41.0,Python binding to typst.,82.0,,30.0,26,https://pypi.org/project/typst,2026-06-16 13:01:32,82.0,694845.0,True,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,typstyle,typstyle-rs/typstyle,writing--assist,"['cli', 'extension', 'web', 'api']",,https://github.com/typstyle-rs/typstyle,https://typstyle-rs.github.io/typstyle/,Apache-2.0,2024-03-09 04:46:08.000,2026-01-11 11:55:36.000,2026-09-16 07:31:39,575.0,32.0,2.0,349.0,32.0,117.0,889.0,2026-08-02 05:52:29.000,0.15.1,131724.0,19820.666666666668,50.0,Beautiful and reliable typst code formatter.,13.0,3.0,26.0,23,,,,,True,1.0,typstyle-core,10.0,https://crates.io/crates/typstyle-core,2026-08-02 05:49:44.555,8.0,4599.666666666667,95974.0,@typstyle/typstyle-wasm-bundler,https://www.npmjs.com/package/@typstyle/typstyle-wasm-bundler,2026-08-02 05:50:10.270,2.0,10517.0,,542164.0,https://greasyfork.org/scripts/542164,https://update.greasyfork.org/scripts/542164/typstyle-tampermonkey.user.js,38.0,20.7,,,,,,,,,,,,,,
6,TexText,textext/textext,mix,['extension'],,https://github.com/textext/textext,https://textext.github.io/textext/,BSD-3-Clause,2018-01-19 09:22:15.000,2026-08-06 12:20:54.000,2026-01-06 14:39:34,1302.0,50.0,11.0,180.0,26.0,286.0,1099.0,2026-01-06 14:54:50.000,1.13.0,190793.0,1834.0,43.0,Re-editable LaTeX/ typst graphics for Inkscape.,,,22.0,22,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tylax,scipenai/tylax,math,"['runnable', 'api', 'web', 'multilingual']",,https://github.com/scipenai/tylax,https://convert.silkyai.cn/,Apache-2.0,2026-01-05 03:12:17.000,2026-09-14 10:26:59.000,2026-09-14 10:16:10,73.0,14.0,4.0,8.0,17.0,23.0,498.0,2026-09-14 10:30:53.000,0.3.8,1194.0,1319.6666666666667,12.0,A bi-directional converter between Typst and LaTeX. Available as both a CLI tool and a Web interface.,10.0,5.0,3.0,20,,,,,True,1.0,tylax,20.0,https://crates.io/crates/tylax,2026-07-18 06:09:34.690,5.0,1170.6666666666667,5948.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
8,typst-lsp,nvarner/typst-lsp,writing--text,"['extension', 'cli']",,https://github.com/nvarner/typst-lsp,https://github.com/nvarner/typst-lsp,MIT,2023-03-22 08:26:41.000,2024-11-05 06:22:11.000,2024-11-05 06:22:11,456.0,78.0,2.0,307.0,101.0,105.0,1196.0,2024-03-16 00:59:54.000,0.13.0,33991.0,820.3333333333334,27.0,"[Deprecated] An early language server for Typst, plus a VS Code extension.",25.0,25.0,33.0,19,,,,,False,1.0,typst-lsp,,https://crates.io/crates/typst-lsp,2023-03-29 04:54:20.986,,11.333333333333334,2427.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,TeXlyre,TeXlyre/texlyre,writing--text,"['runnable', 'web']",,https://github.com/TeXlyre/texlyre,https://texlyre.github.io/texlyre/,AGPL-3.0,2025-07-06 19:49:26.000,2026-09-16 17:14:12.000,2026-09-16 17:14:11,1526.0,71.0,7.0,294.0,5.0,57.0,956.0,2026-09-06 16:20:02.000,0.12.0,,,10.0,A local-first LaTeX & Typst web editor with real-time collaboration & offline support.,,,4.0,19,,,,,True,1.0,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
